id,timestamp,susceptible,exposed,carrier,infected,hospitalized,icu,dead,recovered
287f3ad6952943a8aae6c26676798030,21,8095,42,22,2,2,0,3,36
287f3ad6952943a8aae6c26676798030,22,8081,52,24,3,0,0,3,39
287f3ad6952943a8aae6c26676798030,23,8063,69,19,7,1,0,3,40
287f3ad6952943a8aae6c26676798030,24,8055,68,25,5,2,1,3,43
287f3ad6952943a8aae6c26676798030,25,8045,70,27,7,2,0,3,48
287f3ad6952943a8aae6c26676798030,26,8034,67,34,9,3,2,3,50
287f3ad6952943a8aae6c26676798030,27,8024,70,35,7,5,2,3,56
287f3ad6952943a8aae6c26676798030,28,8013,75,32,10,1,4,3,64
287f3ad6952943a8aae6c26676798030,29,7997,82,34,12,1,2,4,70
287f3ad6952943a8aae6c26676798030,30,7989,81,36,10,3,1,4,78
287f3ad6952943a8aae6c26676798030,31,7976,86,37,10,4,1,4,84
287f3ad6952943a8aae6c26676798030,32,7961,95,33,13,4,1,4,91
287f3ad6952943a8aae6c26676798030,33,7949,96,31,18,7,0,4,97
287f3ad6952943a8aae6c26676798030,34,7939,93,36,12,8,3,4,107
287f3ad6952943a8aae6c26676798030,35,7926,89,45,11,8,6,4,113
287f3ad6952943a8aae6c26676798030,36,7909,94,43,16,6,4,7,123
287f3ad6952943a8aae6c26676798030,37,7887,108,42,10,8,3,8,136
287f3ad6952943a8aae6c26676798030,38,7877,103,46,14,4,5,9,144
287f3ad6952943a8aae6c26676798030,39,7858,112,40,21,4,7,10,150
287f3ad6952943a8aae6c26676798030,40,7838,120,40,18,12,3,11,160
287f3ad6952943a8aae6c26676798030,41,7820,129,40,13,8,4,12,176
287f3ad6952943a8aae6c26676798030,42,7795,134,55,11,4,5,12,186
287f3ad6952943a8aae6c26676798030,43,7768,147,54,17,4,3,13,196
287f3ad6952943a8aae6c26676798030,44,7748,151,60,17,4,4,13,205
287f3ad6952943a8aae6c26676798030,45,7723,165,52,22,4,4,13,219
287f3ad6952943a8aae6c26676798030,46,7699,177,54,14,9,0,14,235
287f3ad6952943a8aae6c26676798030,47,7678,176,64,15,8,3,14,244
287f3ad6952943a8aae6c26676798030,48,7657,177,69,19,5,3,15,257
287f3ad6952943a8aae6c26676798030,49,7632,183,74,17,5,3,15,273
287f3ad6952943a8aae6c26676798030,50,7607,191,74,19,10,5,15,281
287f3ad6952943a8aae6c26676798030,51,7580,203,69,24,10,6,15,295
287f3ad6952943a8aae6c26676798030,52,7552,205,78,19,12,7,15,314
287f3ad6952943a8aae6c26676798030,53,7519,213,83,26,8,8,16,329
287f3ad6952943a8aae6c26676798030,54,7477,232,88,26,10,7,16,346
287f3ad6952943a8aae6c26676798030,55,7443,242,91,31,10,8,17,360
287f3ad6952943a8aae6c26676798030,56,7407,249,99,35,8,10,17,377
287f3ad6952943a8aae6c26676798030,57,7378,244,114,29,13,6,18,400
287f3ad6952943a8aae6c26676798030,58,7323,276,111,29,11,8,19,425
287f3ad6952943a8aae6c26676798030,59,7268,294,126,29,12,8,19,446
287f3ad6952943a8aae6c26676798030,60,7214,319,123,39,9,7,22,469
287f3ad6952943a8aae6c26676798030,61,7168,329,125,44,13,9,22,492
287f3ad6952943a8aae6c26676798030,62,7122,348,124,44,10,10,25,519
287f3ad6952943a8aae6c26676798030,63,7079,356,131,37,21,8,25,545
287f3ad6952943a8aae6c26676798030,64,7020,374,143,34,11,17,27,576
287f3ad6952943a8aae6c26676798030,65,6975,384,149,37,9,13,30,605
287f3ad6952943a8aae6c26676798030,66,6916,403,153,46,14,12,31,627
287f3ad6952943a8aae6c26676798030,67,6862,419,152,51,14,16,32,656
287f3ad6952943a8aae6c26676798030,68,6804,432,160,47,16,14,33,696
287f3ad6952943a8aae6c26676798030,69,6754,441,167,43,23,14,35,725
287f3ad6952943a8aae6c26676798030,70,6694,460,178,43,18,19,35,755
287f3ad6952943a8aae6c26676798030,71,6639,476,173,54,19,19,38,784
287f3ad6952943a8aae6c26676798030,72,6580,488,175,58,23,14,41,823
287f3ad6952943a8aae6c26676798030,73,6509,506,188,51,31,19,42,856
287f3ad6952943a8aae6c26676798030,74,6426,532,202,57,21,21,45,898
